Index,Year,Month,Date,GWh
2017-01,2017,1,01.01.17,3354.139
2017-02,2017,2,01.02.17,4463.205
2017-03,2017,3,01.03.17,8744.436
2017-04,2017,4,01.04.17,10396.980
2017-05,2017,5,01.05.17,11960.878
2017-06,2017,6,01.06.17,12995.316
2017-07,2017,7,01.07.17,12683.268
2017-08,2017,8,01.08.17,12056.906
2017-09,2017,9,01.09.17,8833.349
2017-10,2017,10,01.10.17,6923.766
2017-11,2017,11,01.11.17,3691.807
2017-12,2017,12,01.12.17,2745.662
2018-01,2018,1,01.01.18,3241.005
2018-02,2018,2,01.02.18,5017.853
2018-03,2018,3,01.03.18,7258.049
2018-04,2018,4,01.04.18,11530.794
2018-05,2018,5,01.05.18,13558.511
2018-06,2018,6,01.06.18,13120.355
2018-07,2018,7,01.07.18,14523.896
2018-08,2018,8,01.08.18,12773.339
2018-09,2018,9,01.09.18,10487.855
2018-10,2018,10,01.10.18,7401.926
2018-11,2018,11,01.11.18,3806.531
2018-12,2018,12,01.12.18,2906.955
2019-01,2019,1,01.01.19,3452.370
2019-02,2019,2,01.02.19,6260.837
2019-03,2019,3,01.03.19,9359.103
2019-04,2019,4,01.04.19,11989.563
2019-05,2019,5,01.05.19,12648.081
2019-06,2019,6,01.06.19,15447.971
2019-07,2019,7,01.07.19,14672.639
2019-08,2019,8,01.08.19,13977.599
2019-09,2019,9,01.09.19,10915.466
2019-10,2019,10,01.10.19,7707.572
2019-11,2019,11,01.11.19,3701.977
2019-12,2019,12,01.12.19,3619.684
2020-01,2020,1,01.01.20,4537.438
2020-02,2020,2,01.02.20,6683.204
2020-03,2020,3,01.03.20,11280.188
2020-04,2020,4,01.04.20,16058.565
2020-05,2020,5,01.05.20,17163.193
2020-06,2020,6,01.06.20,16563.504
2020-07,2020,7,01.07.20,18037.321
2020-08,2020,8,01.08.20,16279.813
2020-09,2020,9,01.09.20,13422.857
2020-10,2020,10,01.10.20,8244.209
2020-11,2020,11,01.11.20,5574.137
2020-12,2020,12,01.12.20,3351.981
2021-01,2021,1,01.01.21,3929.958
2021-02,2021,2,01.02.21,7141.672
2021-03,2021,3,01.03.21,13267.782
2021-04,2021,4,01.04.21,16180.228
2021-05,2021,5,01.05.21,18691.395
2021-06,2021,6,01.06.21,20817.125
2021-07,2021,7,01.07.21,19863.199
2021-08,2021,8,01.08.21,17889.940
2021-09,2021,9,01.09.21,15235.364
2021-10,2021,10,01.10.21,11282.062
2021-11,2021,11,01.11.21,5700.030
2021-12,2021,12,01.12.21,4354.206
2022-01,2022,1,01.01.22,6254.083
2022-02,2022,2,01.02.22,9389.833
2022-03,2022,3,01.03.22,16491.999
2022-04,2022,4,01.04.22,19442.117
2022-05,2022,5,01.05.22,24642.714
2022-06,2022,6,01.06.22,25414.537
2022-07,2022,7,01.07.22,26379.895
2022-08,2022,8,01.08.22,24503.486
2022-09,2022,9,01.09.22,17733.042
2022-10,2022,10,01.10.22,13558.100
2022-11,2022,11,01.11.22,7572.678
2022-12,2022,12,01.12.22,4757.571
2023-01,2023,1,01.01.23,6141.034
2023-02,2023,2,01.02.23,10940.712
2023-03,2023,3,01.03.23,16730.364
